TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Risikomanagement abschließen @$EMPIC,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
task,"Fülle die Risiken für die ""3""-Gewichtung Assets aus @$EMPIC",,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
task,Confluence Dokumentation prüfen @$EMPIC,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
task,Dokumentenmanagement definieren @$EMPIC,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
task,ISB Benennung machen,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
,,,,,,,,,,,,,
