TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=list,,,,,,,,,,,,
,,,,,,,,,,,,,
task,Prüfe Version 0.9 des Löschkonzepts bei FITS @$FITS @+HighEnergy @ElkeStapfer,,1,1,Askirom (39171236),,1 Jul,en,Europe/Berlin,,,2025-05-07,en
task,"Du müsstest noch testen, ob du per ssh auf den Server kommst ohne Passwortabfrage @FlorianBetz",,4,1,Askirom (39171236),,10 Jun,en,Europe/Berlin,,,,
task,Buy crushed ice,,4,1,Askirom (39171236),,2025-06-25,en,Europe/Berlin,,,,
task,Material für Mory Schulung senden,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
task,Vertraulichkeit 2025 an Mory senden,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
task,Fishermans Friend kaufen,,4,1,Askirom (39171236),,,,Europe/Berlin,,,,
,,,,,,,,,,,,,
